编号(维修行),维修问题点,二级问题点
RL0011191618,滤芯堵塞,复合滤芯堵塞
RL0011190529,RO滤芯,RO滤芯膜壳开裂
RL0011176977,TDS值调整,调整TDS值在70-100
RL0011175443,RO滤芯,RO滤芯膜壳开裂
RL0011140773,非产品质量问题,客户工程三通角阀漏水
RL0011086452,非产品质量问题,检测正常
RL0011006310,高压开关,制水不停机
RL0010157932,漏水,金属三通
RL0009707878,增压泵,增压泵漏水
RL0011113362,RO滤芯,RO滤芯膜壳开裂
RL0010929842,增压泵,增压泵漏水
RL0010790732,增压泵,增压泵漏水
RL0010772257,滤芯堵塞,RO滤芯堵塞
RL0010485590,RO滤芯,RO滤芯膜壳开裂
RL0010283290,TDS值调整,调整TDS值在70-100
RL0010048060,TDS值调整,调整TDS值在70-100
RL0010964770,非产品质量问题,自来水有泥沙
RL0010962539,TDS值调整,调整TDS值在70-100
RL0010948299,非产品质量问题,用水量大
RL0010936533,非产品质量问题,非安吉尔产品漏水
RL0010892920,TDS值调整,调整TDS值在70-100
RL0010875324,增压泵,增压泵漏水
RL0010794242,非产品质量问题,检测正常
RL0010768506,增压泵,增压泵漏水
RL0010717012,滤芯堵塞,RO滤芯堵塞
RL0010693489,非产品质量问题,水路连接错误
RL0010680057,高压开关,不出水
RL0010680056,TDS值调整,调整TDS值在70-100
RL0010675011,滤芯堵塞,复合滤芯堵塞
RL0010658718,电磁阀,不出水
RL0010627478,出水水质问题,清洗储水箱
RL0010622443,增压泵,增压泵漏水
RL0010621538,增压泵,增压泵异响
RL0010569993,增压泵,增压泵漏水
RL0010566851,TDS值调整,关闭旁通阀
RL0010559328,非产品质量问题,电源松脱
RL0010509565,镇流器+杀菌灯,更换杀菌灯
RL0010508627,非产品质量问题,水管弯折
RL0010501661,压力桶,压力桶坏
RL0010436301,电磁阀,进水电磁阀堵塞
RL0010430240,增压泵,增压泵漏水
RL0010405413,漏水,管接件漏水
RL0010396051,非产品质量问题,变压器插头坏
RL0010393863,镇流器+杀菌灯,镇流器报警
RL0010392313,漏水,管接件漏水
RL0010376763,非产品质量问题,安装条件不符合
RL0010373234,镇流器+杀菌灯,杀菌灯管坏
RL0010360506,TDS值调整,调整TDS值在70-100
RL0010313758,电磁阀,进水电磁阀坏
RL0010292832,漏水,金属三通
RL0010258346,非产品质量问题,用户安装滤芯导致漏水
RL0010222342,增压泵,增压泵漏水
RL0010219259,TDS值调整,调整TDS值在70-100
RL0010197639,非产品质量问题,安装问题
RL0010179603,RO滤芯,RO滤芯膜壳开裂
RL0010179253,漏水,滤芯上盖接头损坏
RL0010164576,滤芯堵塞,复合滤芯堵塞
RL0010163019,非产品质量问题,检测正常
RL0010162318,增压泵,增压泵噪音
RL0010157522,非产品质量问题,检测正常
RL0010116155,滤芯堵塞,前置复合滤芯堵塞
RL0010101903,非产品质量问题,检测正常
RL0010071122,增压泵,增压泵漏水
RL0010059615,非产品质量问题,用水量大
RL0010056943,滤芯堵塞,RO滤芯堵塞
RL0010055697,增压泵,不工作
RL0010039401,TDS值调整,调整TDS值在70-100
RL0010023103,非产品质量问题,废水管松脱
RL0010019234,漏水,杀菌灯接头漏水
RL0010012017,压力桶,压力桶坏
RL0009942648,非产品质量问题,纯水角阀关闭
RL0009934012,漏水,压力桶球阀漏水
RL0009928523,出水水质问题,出水发黄
RL0009920164,压力桶,压力桶坏
RL0009905104,增压泵,不工作
RL0009873672,RO滤芯,RO滤芯膜壳开裂
RL0009840895,非产品质量问题,原水出水小
RL0009825441,TDS值调整,调整TDS值在70-100
RL0009819177,非产品质量问题,自来水问题
RL0009753526,电控板,制水不停机
RL0009749883,漏水,管接件漏水
RL0009747931,压力桶,压力桶球阀坏
RL0009738848,非产品质量问题,重新安装杀菌灯
RL0009732992,增压泵,出水量小
RL0009694698,TDS值调整,调整TDS值在70-100
RL0009694617,非产品质量问题,金属三通堵塞
RL0009691081,漏水,管路漏水
RL0009690003,增压泵,不工作
RL0009676460,漏水,管接件漏水
RL0009674474,非产品质量问题,水路堵塞
RL0009671940,非产品质量问题,压力桶球阀松脱
RL0009661722,漏水,混水阀漏水
RL0009651489,噪音,加装减压阀
RL0009630809,非产品质量问题,超时保护
RL0009627741,电磁阀,废水电磁阀坏
