工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017887949,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2024-12-06 20:50:46,2025-02-12 00:00:00,2025-02-12 00:00:00,"净水设备 反渗透厨下式净水机,J3674-ROC150，446*146*388mm(安吉尔白+天空蓝)",电商事业部,"复合滤芯成品-SP J3673-ROC120,Ф98*357.5mm,含活性炭滤芯,PP滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用(/)",净水机,滤芯类,,上门维修,"复合滤芯成品-SP J3673-ROC120,Ф98*357.5mm,含活性炭滤芯,PP滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用(/)","复合滤芯成品-SP J3673-ROC120,Ф98*357.5mm,含活性炭滤芯,PP滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用(/)",来电号码:13696788198;故障信息:机器故障具体故障问题请师傅先联系确认,滤芯堵塞,更换滤芯机器恢复正常
WO0017976069,质量工单,Rule A.3: 核心部件更换,保内,2023-08-30 16:56:53,2023-11-22,2023-11-22,X5，J2822-ROB60，浅灰+黑色,电商事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：出水故障,不工作,
WO0017995984,质量工单,Rule A.3: 核心部件更换,保外,2024-06-24 15:08:10,2024-07-04,2024-07-04,"净水设备 反渗透厨下式净水机,J3674-ROC150，446*146*388mm(安吉尔白+天空蓝)",电商事业部,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",净水机,电气类,,上门维修,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)","TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",经销商代报维修，纯水不显示tds,机器龙头不显示TDS值,
WO0018021395,质量工单,Rule A.3: 核心部件更换,保内,2022-10-26 09:51:10,2023-01-03,2022-12-30,"净水设备 J2806-ROB90(龙头+滤芯迭代),反渗透厨下式净水机J2806-ROB90,天猫专供(浅黄色+乳白色)",电商事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：出水故障,不通电,更换电源适配器
WO0018064638,质量工单,Rule A.3: 核心部件更换,保内,2024-07-29 18:57:53,2024-09-12,2024-09-12,"净水设备 反渗透厨下式净水机,J3673-ROC150，446*146*388mm(安吉尔白+秋驼色)",电商事业部,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",净水机,电气类,,上门维修,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)","TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",漏水    请先电话联系客户,TDS不显示,
WO0018091779,质量工单,Rule A.3: 核心部件更换,保内,2025-02-22 17:22:47,2025-05-23,2025-05-23,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,"高压开关 J3458系列,高压止水开关，常闭型,直插型,DC24V±10%,230±20mA,开关触点断开压力0.25～0.3MPa、开关触点导通压力：0.08～0.14MPa(灰色)",净水机,电气类,,上门维修,"高压开关 J3458系列,高压止水开关，常闭型,直插型,DC24V±10%,230±20mA,开关触点断开压力0.25～0.3MPa、开关触点导通压力：0.08～0.14MPa(灰色)","高压开关 J3458系列,高压止水开关，常闭型,直插型,DC24V±10%,230±20mA,开关触点断开压力0.25～0.3MPa、开关触点导通压力：0.08～0.14MPa(灰色)",2个月内出现4.5次不出水   前一天师傅检查正常另一天又不出水  安排专业师傅,机器通电不出水，重启后又出水，时好时坏,更换高压开关
WO0018108781,质量工单,Rule A.3: 核心部件更换,保内,2024-09-12 15:35:31,2024-10-03,2024-10-03,"净水设备 反渗透厨下式净水机,J3673-ROC150，446*146*388mm(安吉尔白+秋驼色)",电商事业部,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",净水机,电气类,,上门维修,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)","TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",请先电话联系客户,tds不显示,换
WO0018111162,质量工单,Rule A.3: 核心部件更换,保内,2021-08-11 09:01:40,2023-06-02,2023-06-02,"净水设备 反渗透厨下式净水机,J2908-ROC60(2020款),末端J2908-ROC60,内配前置PS1000,带后置活性炭(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：电气故障,不通电,
WO0018128902,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2024-11-18 09:54:45,2024-12-13,2024-12-13,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,"复合磷酸盐滤芯总成-SP J3680-ROB15,LX-3628PPSC180，五层双瓦楞外箱。(白色)",净水机,滤芯类,,上门维修,"复合磷酸盐滤芯总成-SP J3680-ROB15,LX-3628PPSC180，五层双瓦楞外箱。(白色)","复合磷酸盐滤芯总成-SP J3680-ROB15,LX-3628PPSC180，五层双瓦楞外箱。(白色)",经销商微信代报维修.客户反馈3680机器现在再次不出水了，已经好几天了，有尝试过断电重启，但是还是一样，有升级投诉倾向，麻烦尽快加急派维修师傅上门检测的，谢谢,2024年12月13号安装，2025年7月14号不出水，检查是复合，活性炭滤芯全堵了。机子一直不出水泵一直在工作。,更换复合滤芯
WO0018130114,质量工单,Rule A.3: 核心部件更换,保外,2024-06-08 19:06:30,2024-06-14,2024-06-14,"净水设备 反渗透厨下式净水机,J3673-ROC150，446*146*388mm(安吉尔白+秋驼色)",电商事业部,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",净水机,电气类,,上门维修,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)","TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",请先电话联系客户,不显示,更换配件
