工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
RL0011191618,,,净水机,安全维护,加装压力桶,,,,免费帮用户加装压力桶一个,,非质量工单,
RL0011191619,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,开鉴定单,,质量工单,
RL0011191620,,,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,,,,添加小压力桶,,非质量工单,
RL0011191621,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,机器出现E5,,质量工单,
RL0011191622,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,跟商家协议好退机,,非质量工单,
RL0011191623,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,客户不同意拆机维修  要求换机,,质量工单,
RL0011191624,,,净水机,安全维护,加装排水盒总成,排水盒总成,,19991659759经销商代报维修，加装水盒子，师傅已上门,,非质量工单,,
RL0011191625,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,客户联系商家说可以退换机,,质量工单,
RL0011191626,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,顾客要换货,,质量工单,
RL0011191627,,,净水机,安全维护,加装排水盒总成,集成排水器,,故障类型：漏水故障,,非质量工单,,
RL0011191628,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,开鉴定单,,质量工单,
RL0011191629,,,净水机,产品鉴定,只换不修政策产品质量鉴定,,,,机器正常,,非质量工单,
RL0011191630,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,用户拒绝维修，用户自己要换机,,质量工单,
RL0011191631,,,净水机,安全维护,加装压力桶,压力桶总成,,15502727350服务商代报维修，机器 反复启动,,非质量工单,,
RL0011191632,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,初步判断是系统问题，需要更换控制板,,质量工单,
RL0011191633,,,净水机,安全维护,加装排水盒总成,集成排水器,,故障类型：出水故障,,非质量工单,,
RL0011191634,,,净水机,安全维护,加装压力桶,压力桶总成,,故障类型：出水故障,,非质量工单,,
RL0011191635,,,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,,,,用户机器因为出水断续，师傅已上门增加小压力桶，请核销为感,,非质量工单,
RL0011191636,,,净水机,安全维护,保养件保养包更换(PE管+接头),,,,更换快接头，问题已解决，试机正常,,非质量工单,
RL0011191637,,,净水机,安全维护,改善口感，增加后置活性炭,,,,冲洗复位,,非质量工单,
RL0011191638,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,用户要求更换新机,,质量工单,
RL0011191639,,,净水机,安全维护,加装排水盒总成,排水盒总成,,19954487256服务商代报维修，机器加装水盒子，派给王茂龙师傅,,非质量工单,,
RL0011191640,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,客户要求换机,,质量工单,
RL0011191641,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,管线机漏水，开鉴定单,,质量工单,
RL0011191642,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,要求更换新机,,质量工单,
RL0011191643,,,净水机,安全维护,加装排水盒总成,排水盒总成,,13369272247服务商代报维修加装水盒子,,非质量工单,,
RL0011191644,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,客户要求更换新机。,,质量工单,
RL0011191645,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,换机,,质量工单,
RL0011191646,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,新机器客户不同意拆机，不知道是哪方面坏了,,质量工单,
RL0011191647,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,检测机器电路板或者龙头故障，用户不愿意维修要求换机,,质量工单,
RL0011191648,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,管线机出水有异味,,质量工单,
RL0011191649,,,净水机,安全维护,加装排水盒总成,,,,加装排水盒子,,非质量工单,
RL0011191650,,,饮水机,安全维护,程序升级/程序烧录,,,,维修，拆解电磁阀，拆解水箱,,非质量工单,
RL0011191651,,,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,,维修,,非质量工单,,
RL0011191652,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,上门检测确实有异味,,质量工单,
RL0011191653,,,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,,维修,,非质量工单,,
RL0011191654,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,上门鉴定，应该是水箱内部浮球故障，客户拒绝维修，要求退货,,质量工单,
RL0011191655,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,机器没问题，用户自来水龙头滴水,,非质量工单,
RL0011191656,,,净水机,安全维护,程序升级/程序烧录,,,,检测,,非质量工单,
RL0011191657,,,净水机,安全维护,加装压力桶,压力桶总成,,18317591379服务商代报维修，加装储水罐,,非质量工单,,
RL0011191658,,,净水机,安全维护,改善口感，增加后置活性炭,,,,加装后置碳客户有,,非质量工单,
RL0011191659,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,TDS值偏高，大通量前1分钟出水偏高，大通量机器共性，符合企标不符合用户需求，,,非质量工单,
RL0011191660,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,开鉴定单,,质量工单,
RL0011191661,,,净水机,安全维护,改善口感，增加后置活性炭,,,,加装后置碳,,非质量工单,
RL0011191662,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,用户要求换机,,质量工单,
RL0011191663,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,线上要开鉴定单,,质量工单,
