编号(维修行),是否为非产品质量问题
RL0012134013,非产品质量问题
RL0012127571,否
RL0011181339,否
RL0010824449,否
RL0011107004,否
RL0011106975,否
RL0011011792,非产品质量问题
RL0011240767,非产品质量问题
RL0011070853,否
RL0011056001,非产品质量问题
RL0011019864,否
RL0011016271,否
RL0011012768,否
RL0011011474,非产品质量问题
RL0011008731,非产品质量问题
RL0011001244,非产品质量问题
RL0010940548,否
RL0010911479,非产品质量问题
RL0010902930,否
RL0010887760,非产品质量问题
RL0010886424,非产品质量问题
RL0010824461,否
RL0010781611,否
RL0010772438,否
RL0010766543,非产品质量问题
RL0010655359,非产品质量问题
RL0010599075,非产品质量问题
RL0010380919,否
RL0010355492,否
RL0010324957,非产品质量问题
RL0010323721,非产品质量问题
RL0010276445,否
RL0010265054,非产品质量问题
RL0010189293,否
RL0010183761,否
RL0010043626,否
RL0010021836,非产品质量问题
RL0010015242,否
RL0009960746,非产品质量问题
RL0009957309,非产品质量问题
RL0009927574,否
RL0009897283,非产品质量问题
RL0009854446,非产品质量问题
RL0009912930,非产品质量问题
RL0009912628,非产品质量问题
RL0010824326,否
RL0011501418,非产品质量问题
RL0011903018,非产品质量问题
RL0012190781,否
RL0012475632,否
