维修工单号,问题描述,故障件,解决方案,原因分析,问题分类,产品型号,是否质量工单
WO0016977126,漏水,密封圈,更换进水口密封圈,服务技能不足,安装服务问题,J3675-ROC180,非质量工单
WO0016976300,闪绿灯不出水,线束,开鉴定单换机,指示灯板线束端子松脱,制程问题,J3675-ROC150,质量工单
WO0016978938,不出水,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017001680,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017031544,不能配网,无明确故障件,重新配网,环境与使用问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017053373,不出水,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC210,非质量工单
WO0016982501,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017014448,内部漏水,复合滤芯,开鉴定单换机,后置炭滤芯进水阀芯处旋融胶丝残留,来料问题,J3675-ROC180,质量工单
WO0017050202,闪绿灯不出水,无明确故障件,解决方案待定,原因待查,分类待定,J3675-ROC150,质量工单
WO0017077792,不出水,无明确故障件,开鉴定单换机,用户按压滤芯后未准确复位,环境与使用问题,J3675-ROC180,非质量工单
WO0017038159,不出水,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017096306,龙头接头处漏水,水龙头接头,重新安装,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017063120,闪绿灯不出水,主控板,开鉴定单换机,主控板回流阀引脚虚焊,来料问题,J3675-ROC150,质量工单
WO0017115372,不出水,无明确故障件,开鉴定单换机,新机安装时使用原旧机限流废水管,安装服务问题,J3675-ROC180,非质量工单
WO0017124831,不出水,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC180,非质量工单
WO0017139797,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,质量工单
WO0017140713,频繁启动,故障件待定,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017151714,漏水,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017099023,内部漏水,无明确故障件,开鉴定单换机,故障未复现，推断用户按压RO滤芯按键后滤芯弹出，用户误判,环境与使用问题,J3675-ROC210,非质量工单
WO0017109158,闪绿灯不出水,无明确故障件,解决方案待定,原因待查,分类待定,J3675-ROC150,非质量工单
WO0017182416,漏水,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC210,非质量工单
WO0017181962,反水,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC210,非质量工单
WO0017129153,出水小,无明确故障件,无具体解决方案,用户自来水进水水压低,环境与使用问题,J3675-ROC150,非质量工单
WO0017147347,EE报警,水龙头线束,开鉴定单换机,龙头线束内部接触不良,来料问题,J3675-ROC150,质量工单
WO0017196530,频繁启动,故障件待定,开鉴定单换机,原因待查,分类待定,J3675-ROC210,质量工单
WO0017144161,噪音/异响,无明确故障件,上门噪音测试,用户体验问题,环境与使用问题,J3675-ROC180,非质量工单
WO0017202510,滤芯弹出,无明确故障件,复位滤芯,用户按压滤芯后弹出，机器过流保护,环境与使用问题,J3675-ROC150,非质量工单
WO0017203093,漏水,PE管,重插水龙头PE管,产品安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017118099,不出水,电源适配器,重插市电插座,回访，用户电源适配器220v插头未插到位,环境与使用问题,J3675-ROC180,非质量工单
WO0017147647,不出水,无明确故障件,开鉴定单退机,新机安装时使用原旧机限流废水管,安装服务问题,J3675-ROC180,非质量工单
WO0017207039,噪音 无法配网,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017232625,TDS值不显示,线束端子,重插TDS传感器,TDS传感器线束端子松脱,制程问题,J3675-ROC180,质量工单
WO0017181153,闪绿灯不出水,故障件待定,解决方案待定,原因待查,分类待定,J3675-ROC150,质量工单
WO0017178045,进水三通漏水,进水三通,更换进水三通,非产品质量问题,非产品本身质量问题,J3675-ROC150,非质量工单
WO0017147838,出水小，噪音,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,质量工单
WO0017138392,出水小，噪音,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,非质量工单
WO0017238894,第一杯水TDS值高,无明确故障件,解释说明，业务端加强宣贯,未知,环境与使用问题,J3675-ROC210,非质量工单
WO0017198016,出水气泡，接头松动,无明确故障件,解释 ，紧固接头,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017257293,闪绿灯不出水,无明确故障件,开鉴定单退机,新机安装时使用原旧机限流废水管,安装服务问题,J3675-ROC180,非质量工单
WO0017264403,龙头开关旋转生涩,水龙头,更换水龙头,原因待查,来料问题,J3675-ROC210,质量工单
WO0017263050,废水管弹出,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC150,非质量工单
WO0017243545,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,质量工单
WO0017269804,漏水保护,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC150,非质量工单
WO0017223879,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017214620,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,质量工单
WO0017267831,水质问题,无明确故障件,检测水质正常,用户误判,环境与使用问题,J3675-ROC210,非质量工单
WO0017235088,用户下水问题,无明确故障件,重新安装,非产品质量问题,非产品本身质量问题,J3675-ROC180,非质量工单
WO0017222221,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,非质量工单
WO0017228762,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017287893,用户下水问题,无明确故障件,疏通下水道,用户下水道堵塞,非产品本身质量问题,J3675-ROC150,非质量工单
WO0017291169,水龙头漏水,水龙头,更换水龙头,水龙头阀芯漏水,来料问题,J3675-ROC210,质量工单
WO0017247790,漏水保护,漏保开关,复位漏保开关,漏保误报,安装服务问题,J3675-ROC180,非质量工单
WO0017295540,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017295535,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,质量工单
WO0017237480,闪绿灯,无明确故障件,上门检测正常,用户误判,环境与使用问题,J3675-ROC150,非质量工单
WO0017246788,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017229451,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,质量工单
WO0017310010,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC180,质量工单
WO0017309274,快插接头漏水,快插接头,更换快插接头,产品安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017296778,闪绿灯不出水,金属三通,检修,非产品质量问题,非产品本身质量问题,J3675-ROC150,非质量工单
WO0017304235,闪绿灯不出水,故障件待定,解决方案待定,原因待查,分类待定,J3675-ROC210,质量工单
WO0017308103,水路板渗水,水路板,开鉴定单换机,误判,安装服务问题,J3675-ROC150,非质量工单
WO0017259703,闪绿灯不出水,无明确故障件,开鉴定单退机,新机安装时使用原旧机限流废水管,安装服务问题,J3675-ROC180,非质量工单
WO0017210714,水龙头开裂,水龙头,更换水龙头,来料不良,来料问题,J3675-ROC180,质量工单
WO0017301250,废水管弹出,无明确故障件,重装废水管,废水管安装不规范,安装服务问题,J3675-ROC180,非质量工单
WO0017306349,出水水质问题,无明确故障件,解释说明,用户使用问题,环境与使用问题,J3675-ROC150,非质量工单
WO0017325155,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC150,非质量工单
WO0017335477,闪绿灯不出水,无明确故障件,重启,用户使用问题,环境与使用问题,J3675-ROC150,非质量工单
WO0017338934,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,共振,研发问题,J3675-ROC210,质量工单
