工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0017768597,1) 理由与关键判断点：总部安排产品升级，免费更换顶盖，属于产品升级而非质量问题；2) 非质量工单特征：产品升级；3) 规则或标准引用：安装调试类,滤桶盖总成 J2641-US2000,中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,换盖,更换,非质量工单
WO0017771301,1) 理由与关键判断点：总部安排产品升级，免费更换顶盖，属于产品升级而非质量问题；2) 非质量工单特征：产品升级；3) 规则或标准引用：安装调试类,顶盖 J2641-US2000,中央系列,外观结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,升级顶盖,更换顶盖,非质量工单
WO0017771572,1) 理由与关键判断点：总部安排产品升级，免费更换顶盖，属于产品升级而非质量问题；2) 非质量工单特征：产品升级；3) 规则或标准引用：安装调试类,滤桶盖总成 J2641-US2000,中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,产品升级,nan,非质量工单
WO0017771832,1) 理由与关键判断点：总部安排产品升级，免费更换顶盖，属于产品升级而非质量问题；2) 非质量工单特征：产品升级；3) 规则或标准引用：安装调试类,滤桶盖总成 J2641-US2000,中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,更换顶盖,nan,非质量工单
WO0017772126,1) 理由与关键判断点：总部安排产品升级，免费更换顶盖，属于产品升级而非质量问题；2) 非质量工单特征：产品升级；3) 规则或标准引用：安装调试类,滤桶盖总成 J2641-US2000,中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,换顶盖,顶盖升级,非质量工单
WO0017772400,1) 理由与关键判断点：滤桶盖漏水，属于产品质量问题；2) 质量工单特征：漏水；3) 规则或标准引用：产品故障类,滤桶盖总成 J2641-US2000,中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,漏水,换盖子,质量工单
WO0017772405,1) 理由与关键判断点：总部安排产品升级，免费更换顶盖，属于产品升级而非质量问题；2) 非质量工单特征：产品升级；3) 规则或标准引用：安装调试类,滤桶盖总成 J2641-US2000,中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,总部安排产品升级，免费更换顶盖,总部安排产品升级，免费更换顶盖,非质量工单
WO0017772806,1) 理由与关键判断点：滤桶盖漏水，属于产品质量问题；2) 质量工单特征：漏水；3) 规则或标准引用：产品故障类,滤桶盖总成 J2641-US2000,中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,漏水,换盖子,质量工单
WO0017773185,1) 理由与关键判断点：总部安排产品升级，免费更换顶盖，属于产品升级而非质量问题；2) 非质量工单特征：产品升级；3) 规则或标准引用：安装调试类,滤桶盖总成 J2641-US2000,中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,更换顶盖,nan,非质量工单
WO0017773207,1) 理由与关键判断点：总部安排产品升级，免费更换顶盖，属于产品升级而非质量问题；2) 非质量工单特征：产品升级；3) 规则或标准引用：安装调试类,滤桶盖总成 J2641-US2000,中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,更换滤桶盖,nan,非质量工单
