维修工单号,问题描述,故障件,解决方案,是否质量工单
WO0016977126,漏水,密封圈,更换进水口密封圈,非质量工单
WO0016976300,闪绿灯不出水,线束,开鉴定单换机,质量工单
WO0016978938,不出水,漏保开关,复位漏保开关,非质量工单
WO0017001680,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017031544,不能配网,无明确故障件,重新配网,非质量工单
WO0017053373,不出水,漏保开关,复位漏保开关,非质量工单
WO0016982501,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017014448,内部漏水,复合滤芯,开鉴定单换机,质量工单
WO0017050202,闪绿灯不出水,无明确故障件,解决方案待定,质量工单
WO0017077792,不出水,无明确故障件,开鉴定单换机,非质量工单
WO0017038159,不出水,漏保开关,复位漏保开关,非质量工单
WO0017096306,龙头接头处漏水,水龙头接头,重新安装,非质量工单
WO0017063120,闪绿灯不出水,主控板,开鉴定单换机,质量工单
WO0017115372,不出水,无明确故障件,开鉴定单换机,非质量工单
WO0017124831,不出水,漏保开关,复位漏保开关,非质量工单
WO0017139797,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017140713,频繁启动,故障件待定,开鉴定单换机,质量工单
WO0017151714,漏水,无明确故障件,重装废水管,非质量工单
WO0017099023,内部漏水,无明确故障件,开鉴定单换机,非质量工单
WO0017109158,闪绿灯不出水,无明确故障件,解决方案待定,质量工单
WO0017182416,漏水,无明确故障件,重装废水管,非质量工单
WO0017181962,反水,无明确故障件,重装废水管,非质量工单
WO0017129153,出水小,无明确故障件,无具体解决方案,非质量工单
WO0017147347,EE报警,水龙头线束,开鉴定单换机,质量工单
WO0017196530,频繁启动,故障件待定,开鉴定单换机,质量工单
WO0017144161,噪音/异响,无明确故障件,上门噪音测试,非质量工单
WO0017202510,滤芯弹出,无明确故障件,复位滤芯,非质量工单
WO0017203093,漏水,PE管,重插水龙头PE管,非质量工单
WO0017118099,不出水,电源适配器,重插市电插座,非质量工单
WO0017147647,不出水,无明确故障件,开鉴定单退机,非质量工单
WO0017207039,噪音 无法配网,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017232625,TDS值不显示,线束端子,重插TDS传感器,质量工单
