工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017907598,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-02-19 16:36:04,2025-07-01 16:13:21,2025-07-01 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,,饮水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,15552630327来电不加热   ,不出热水,新机通电不加热，用户不让拆机检测，要求换新
WO0017380188,非质量工单,Rule 3: 最终安全网,保内,2025-03-13 16:50:50,2025-05-13 10:01:46,2025-05-13 00:00:00,"净水设备 反渗透厨下式净水机,J3442-ROC60,352*125*328mm(白+透明黑)",消费者事业部,进水金属三分（螺纹）三通球阀 KLS-36-B1(锁帽款)(白),净水机,水路结构类,,上门维修,进水金属三分（螺纹）三通球阀 KLS-36-B1(锁帽款)(白),进水金属三分（螺纹）三通球阀 KLS-36-B1(锁帽款)(白),18805246266经销商代报维修三通坏了,进水三通螺丝吃不住PE管,更换进水三通
WO0017903614,非质量工单,Rule B.3: 用户/环境责任,保内,2024-12-28 08:28:14,2025-01-09 17:29:26,2025-01-09 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"转接头 【3312模具】J3507-ACF1000,29*26*42.7 mm(白色)",净水机,水路结构类,,上门维修,,,底部漏水，保内,ACF出水口漏水,用户移动机器搞卫生导致波纹管有松动漏水  加固波纹管  拧紧螺冒  机器恢复正常
WO0017717378,非质量工单,Rule B.1: 外部加装,保内,2025-01-08 15:05:57,2025-01-22 11:42:00,2025-01-22 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,,净水机,安全维护,加装压力桶,上门维修,,"压力桶总成 J3303-ROB60,0.5G螺纹式,塑胶压力桶，带盒售后用(原色)",18571670221 服务商代报 机器出水断断续续 保内请联系,出水断断续续,加装压力桶
WO0017728809,质量工单,Rule A.3: 核心部件更换,保内,2024-08-09 08:42:56,2024-11-20 12:52:09,2024-11-20 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"绕丝加热体总成 2100W（1350W+750W）双功率,55*51*195mm,HT-JRTO3(FTN02),220VAC,50Hz,扬天,Y3415BK-G(/)",饮水机,电气类,,上门维修,"绕丝加热体总成 2100W（1350W+750W）双功率,55*51*195mm,HT-JRTO3(FTN02),220VAC,50Hz,扬天,Y3415BK-G(/)","绕丝加热体总成 2100W（1350W+750W）双功率,55*51*195mm,HT-JRTO3(FTN02),220VAC,50Hz,扬天,Y3415BK-G(/)","来电号码:15802390152;故障信息:不加热,机器故障具体故障问题请师傅先联系确认",开水出水是冷的,更换
WO0017717853,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2025-01-10 20:09:16,2025-05-29 14:42:47,2025-05-29 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",净水机,滤芯类,,上门维修,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字","复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",出水有杂质，师傅已上门,出水有黑色颗粒，活性炭漏碳,更换复合滤芯
WO0017358831,质量工单,Rule A.3: 核心部件更换,保内,2024-08-09 11:09:09,2024-10-25 10:27:26,2024-10-25 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"微电脑电源板 Y3611BK-G,电源板：供应商宁波祈禧，AC220V 长宽151.6*55(/)",饮水机,电气类,,上门维修,"微电脑电源板 Y3611BK-G,电源板：供应商宁波祈禧，AC220V 长宽151.6*55(/)","微电脑电源板 Y3611BK-G,电源板：供应商宁波祈禧，AC220V 长宽151.6*55(/)",管线机取热水外喷滋滋响，保内，安排专业老师傅上门,喷蒸汽，,
WO0017861385,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-01-02 18:25:23,2025-06-03 13:35:26,2025-06-03 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,,,不出水，保内,不出水,放水超时保护，把电重启
WO0017612606,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-02-28 13:59:04,2025-06-05 13:05:58,2025-06-05 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G w(白色款)(白色)",电商事业部,"微电脑电源板 Y3611BK-G,电源板：供应商宁波祈禧，AC220V 长宽151.6*55(/)",饮水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,屏幕不亮,机器不通电,用户要求退机
WO0017738515,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-01-18 10:25:56,2025-03-14 20:10:28,2025-03-14 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,"鹅颈龙头 J2738-ROC75,塑料阀芯,单柄,2分快插杆,一进一出,带包装盒，包装盒尺寸：385*175*35mm(/)",净水机,水路结构类,,上门维修,,,来电号码:15805890995;故障信息:漏水,水龙头漏水,拆下水龙头 水龙头连接处松动  拧紧连接处
