工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
根据训练数据中学到的规律，对每条记录进行工单性质判断如下：,,,,,,,,,,
```csv,,,,,,,,,,
工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0005059666,nan,"布水器组件 S2660-Y09,含上、下布水器，中心管，包装盒，售后专用(白色)",中央净水机/软水机,结构/水路故障,1.1.7出水杂质,布水器组件,软水机有胶状的东西流出，保内，凭证待查,nan,布水器坏，漏树脂，更换,质量工单
WO0005125401,nan,"电源适配器 J1205-ROB8C,CCC，109*51*31mm,输入端：220V 线长300mm,输出端：DC24V 2.0A,线长1200mm, 含DC插头(黑色)",净水机,电气故障,1.1.3不工作/不通电/不制水,电源适配器,电源线坏了/不通电  保内,nan,不通电,质量工单
WO0005262538,nan,"前面板 Y2716BK-K-G a,320*430*3mm/带触摸按键(白色)",饮水机,结构/水路故障,1.1.6非人为破裂,前面板,客户留言:面板碎了,nan,面板破裂,质量工单
WO0018026841,nan,nan,净水机,安全维护,加装压力桶,压力桶,服务商代报维修，加压力桶,加装压力桶,加压力桶,非质量工单
WO0018162999,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,故障类型：漏水故障,排水盒漏水,免费更换,质量工单
WO0018168108,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),管,19829852851服务商代报维修 更换水管  派给李建,更换PE管加接头,更换PE管加接头,非质量工单
WO0018184436,nan,nan,净水机,安全维护,加装压力桶,压力桶,出水小，正在维修,客户反馈管线机接热水后，玻璃杯壁有水垢，售后上门查看，管线机出水检测TDS值偏高，纯水龙头TDS支正常，增加压力桶，平衡TDS数值，,加装压力桶，,非质量工单
WO0018189461,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,加装水盒子，师傅已上门,加装排水盒,加装排水盒,非质量工单
WO0018194002,nan,nan,净水机,安全维护,加装压力桶,压力桶总成,来电号码:13722964289;故障信息:机器故障具体故障问题请师傅先联系确认,管线机出去水水垢大,加装压力桶,非质量工单
WO0018199677,nan,nan,净水机,安全维护,加装减压阀,减压阀,来电号码:13607089993;故障信息:机器故障具体故障问题请师傅先联系确认,噪音大，震动大,噪音大，震动大，加装减压阀,非质量工单
WO0018214374,nan,nan,净水机,安全维护,改善口感，增加后置活性炭,活性炭滤芯成品,漏碳      要求今天上门  去年安装的  不清楚是否过保,加装后碳,已报备区域经理，加装后碳,质量工单
WO0018221435,配套管线机异响，加装逆止阀,nan,净水机,安全维护,加装减压阀,逆止阀,不出水  异响    请先电话联系客户,净水器搭配管线机放水异响,净水器连接管线机中间管路加装逆止阀,非质量工单
WO0018225126,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,19991659759经销商代报维修，加装水盒子，师傅已上门,通往管线机的水第1杯水TDs值偏高。,加装排水盒总成。,非质量工单
WO0018227200,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：漏水故障,排水管反水,加装排水盒总成,质量工单
WO0018227457,nan,nan,净水机,安全维护,加装压力桶,压力桶总成,15502727350服务商代报维修，机器 反复启动,反复启动,加装压力桶,非质量工单
WO0018227974,nan,nan,净水机,安全维护,加装压力桶,压力桶总成,故障类型：出水故障,管线机工作不正常,加装压力罐,非质量工单
WO0018229170,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,19954487256服务商代报维修，机器加装水盒子，派给王茂龙师傅,加装排水盒子,加装排水盒子,非质量工单
WO0018230032,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,13369272247服务商代报维修加装水盒子,加装水盒子,加装水盒子,非质量工单
WO0018231558,机器本身配置了压力桶,nan,净水机,安全维护,加装压力桶,压力桶总成,07928193520服务商代报维修，加装压力桶,加装压力桶,加装压力桶,非质量工单
WO0018233816,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,两年以换管,更换新的管,非质量工单
WO0018235199,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,pe管老化,现场免费更换pe管,非质量工单
WO0018236702,nan,nan,净水机,安全维护,加装压力桶,压力桶总成,18317591379服务商代报维修，加装储水罐,机器平凡启动,加装压力桶,非质量工单
WO0018239556,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,维修 加装水盒子，师傅已上门,连接管线机tds值过高,免费加装排水盒总成,非质量工单
WO0018240780,声音大，换减压阀,nan,净水机,安全维护,加装减压阀,减压阀,经销商代报维修 净水器声音大,净水器声音大,换了减压阀,非质量工单
WO0018242342,nan,nan,净水机,安全维护,加装压力桶,压力桶,出水有异味,出水口感不好,加装压力桶,非质量工单
WO0018242629,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,加装水盒子，师傅已上门,连接管线机tds值过高,免费加装排水盒总成,非质量工单
WO0018244464,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,管老化,更换新管,非质量工单
WO0018246410,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,13546190873服务商代报加装水盒子,水盒子,家排水盒,非质量工单
WO0018246967,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,pe管老化,现场免费更换pe管,非质量工单
WO0018247581,nan,nan,净水机,安全维护,加装压力桶,压力桶总成,13778036491 经销商商代报维修 加罐子,有水垢,添加小压力罐,非质量工单
