工单单号,故障部位名称,故障组,故障类别,故障件简称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0018011802,"控制阀 BNT850HEF,12AC,逆流,单色屏,156*245.4*133.9mm(黑色)",中央系列,电气类,控制阀,报警跟出水不停，维修了很多次，要求资深的师傅上门维修，要求下午3点后联系，保内。,报警异响,,质量工单
WO0018012111,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,电源适配器,机器不通电，师傅已上门,机器不通电,换,质量工单
WO0018012322,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,电源适配器,13828600488代报维修，不通电,不通电,,质量工单
WO0018013240,"PP复合滤芯成品-SPJ3406-ROC90H325.5*Ф98mm含PP复合滤芯、密封圈等(三合一），批件号:LX-207PSC180,箱式，售后专用白底金字",净饮机,滤芯类,复合滤芯成品,50°水  出水有异物,出水有杂志,客户刚安装半年的机器，现在出水有黑色杂质，现在给它重新免费更换一个复合滤芯,质量工单
WO0018016700,"泵 型号：S370D7-LP DC24V,使用电压DC8.5-26V,负载流量1000~1300ml/min进出水口快插1/4,森姆,对应摩纳物料名称快插式抽水泵(/)",净饮机,电气类,泵,经销商代报维修  顾客反馈取水口滴水 需要预约师傅上门看看加急,出水口滴水,更换抽水泵,质量工单
WO0018016858,"复合滤芯成品-SPJ3673-ROC120 b,Ф98*357.5mm,含活性炭滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用",净水机,滤芯类,,"客户留言:水里有脏东西

故障类型：制水故障",水路,漏炭更换,,质量工单
WO0018017181,"滤网总成 J3532-GWG-6000,含滤芯架、滤网、刮条、包装胶袋等，售后专用(/)",净水机,水路结构类,滤网总成,"客户留言:没有水

故障类型：出水故障",滤网损坏,,非质量工单
WO0018018776,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,滤桶盖总成,总部安排产品升级，免费更换顶盖,服务升级免费更换顶盖,服务升级免费更换顶盖,质量工单
WO0018020452,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,滤桶盖总成,总部安排产品升级，免费更换顶盖,服务升级，保内换顶盖,服务升级，保内免费更换顶盖,质量工单
WO0018020465,,饮水机,产品鉴定,,15779175898服务商代报维修机器漏水,漏水,换新机,非质量工单
WO0018020470,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,滤桶盖总成,总部安排产品升级，免费更换顶盖,系统升级免费更换顶盖,系统升级免费更换顶盖,质量工单
WO0018021395,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,电源适配器,故障类型：出水故障,不通电,更换电源适配器,质量工单
WO0018024166,"电磁阀 FPS-270H60-DC24V,DC24V,210mA,CQC认证,线长360mm,蓝色,一进两出换向阀,水压0-0.1MPa,流量≥1L/min(/)",饮水机,电气类,电磁阀,13991179294服务商代报维修出水口滴水,出水滴水,更换换向电磁阀,质量工单
WO0018025191,水路板总成 J3379-ROB60T，287*105.3*84.5mm，含水路板上盖、水路板下盖、密封圈、管爪等(白色),净水机,水路结构类,水路板总成,"故障类型：制水故障,漏水故障",水路坏,换水路板,质量工单
WO0018026028,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,滤桶盖总成,总部安排产品升级，免费更换顶盖,统一更换滤桶盖,统一更换滤桶盖,质量工单
WO0018026369,,净水机,产品鉴定,,前置不转动，机器有问题，开鉴定单,不会刮洗，用户要求退机,用户要求退机,非质量工单
WO0018026841,,净水机,安全维护,压力桶,服务商代报维修，加压力桶,加装压力桶,加压力桶,非质量工单
WO0018027963,"微电脑电源板 CB3485LKD-J,CB230-1型温控制板；双抽水；双温机；220V~50Hz；170*77mm； ZD-AGL-CB3485/86/87-P；(/)",饮水机,电气类,微电脑电源板,来电号码:13124646677;故障信息:机器故障具体故障问题请师傅先联系确认,不加热,,非质量工单
WO0018028291,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,电源适配器,不通电，之前维修过，电源适配器还在保内，请确认是否电源适配器问题。,不工作,,质量工单
WO0018028371,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,电源适配器,来电号码:19108228216;故障信息:机器故障具体故障问题请师傅先联系确认,不出水。,保利换件。,非质量工单
WO0018028946,"复合滤芯成品-SPJ3369-ROB60T,325.5*Ф98mm含活性炭滤芯、PP复合滤芯、密封圈等(三合一），批件号LX-946US-PC180,箱式，售后专用",净水机,滤芯类,,来电号码:13579256361;故障信息:机器故障具体故障问题请师傅先联系确认,重复启动,客户用的非原厂滤芯,非质量工单
WO0018029000,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,电源适配器,来电号码:13877546238;故障信息:漏水,不通电，电源线烧了,更换电源线,质量工单
