工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
RL0011191618,nan,nan,净水机,安全维护,加装压力桶,nan,18005407836服务商代报维修加装压力桶,刚放水时水质偏高，用户喝着口感不好，,免费帮用户加装压力桶一个,nan,非质量工单
RL0011191619,nan,nan,净饮机,产品鉴定,线上销售的产品质量鉴定,nan,优先联系15949153888机器制冷不行，保内请联系,机器制冷一直工作，客户才买几个月不同意维修,开鉴定单,nan,质量工单
RL0011191620,nan,nan,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,nan,保外维修，冷水出水断断续续,安全维护，加小压力桶,添加小压力桶,nan,非质量工单
RL0011191621,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,经销商代报 出现E5,产品鉴定,机器出现E5,nan,非质量工单
RL0011191622,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,经销商代报维修   净水器进水端水压小，不出水， 报单预约师傅上门检测,不出水,跟商家协议好退机,nan,质量工单
RL0011191623,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,漏水，请先电话联系客户,新机子装机后试水就漏水了，客户要求退换机,客户联系商家说可以退换机,nan,质量工单
RL0011191624,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,19991659759经销商代报维修，加装水盒子，师傅已上门,通往管线机的水第1杯水TDs值偏高。,加装排水盒总成。,nan,非质量工单
RL0011191625,nan,nan,净饮机,产品鉴定,线上销售的产品质量鉴定,nan,维修，请先电话联系客户,机子内部漏水,顾客要换货,nan,质量工单
RL0011191626,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：漏水故障,排水管反水,加装排水盒总成,nan,非质量工单
RL0011191627,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,核实是机器问题 开鉴定单,开鉴定单,开鉴定单,nan,质量工单
RL0011191628,nan,nan,净水机,产品鉴定,只换不修政策产品质量鉴定,nan,15704438862服务商代报维修，不出水,机器不出水,机器正常,nan,非质量工单
RL0011191629,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,经销商代报维修  屏幕不灵 上报维修,没有热水,用户拒绝维修，用户自己要换机,nan,质量工单
RL0011191630,nan,nan,净水机,安全维护,加装压力桶,压力桶总成,15502727350服务商代报维修，机器 反复启动,反复启动,加装压力桶,nan,非质量工单
RL0011191631,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,机器异响，,新机器上电出水后嗡嗡响然后就屏幕失灵，不能触摸,初步判断是系统问题，需要更换控制板,nan,质量工单
RL0011191632,nan,nan,净水机,安全维护,加装排水盒总成,集成排水器,故障类型：出水故障,家装集成排水器,nan,nan,非质量工单
RL0011191633,nan,nan,净水机,安全维护,加装压力桶,压力桶总成,故障类型：出水故障,管线机工作不正常,加装压力罐,nan,非质量工单
RL0011191634,nan,nan,饮水机,安全维护,管线机加装减压阀（仅限配套净水机带压力桶）,nan,经销商代报维修 管线机出水断断续续,出水断续,用户机器因为出水断续，师傅已上门增加小压力桶，请核销为感,nan,非质量工单
RL0011191635,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),nan,请先电话联系客户,水龙头出水口的地方漏水,更换快接头，问题已解决，试机正常,nan,非质量工单
RL0011191636,nan,nan,净水机,安全维护,改善口感，增加后置活性炭,nan,延长滤芯寿命,滤芯时间到，一直，红灯闪烁需要延长旅行寿命,冲洗复位,nan,非质量工单
RL0011191637,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,维修，请先电话联系客户,新安装漏水，机器内部故障导致,用户要求更换新机,nan,质量工单
RL0011191638,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,19954487256服务商代报维修，机器加装水盒子，派给王茂龙师傅,加装排水盒子,加装排水盒子,nan,非质量工单
RL0011191639,nan,nan,净饮机,产品鉴定,线上销售的产品质量鉴定,nan,维修，请先电话联系客户,滤芯接口漏水,客户要求换机,nan,质量工单
RL0011191640,nan,等径L管 φ6*25*25mm(/),饮水机,产品鉴定,线上销售的产品质量鉴定,nan,核实机器问题属于质量问题开鉴定单谢谢,产品鉴定,管线机漏水，开鉴定单,nan,质量工单
RL0011191641,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,核实机器质量问题，属于质量问题开鉴定单,机器噪音大客户不接受维修,要求更换新机,nan,质量工单
RL0011191642,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,13369272247服务商代报维修加装水盒子,加装水盒子,加装水盒子,nan,非质量工单
RL0011191643,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,上门确定机器是否属于质量问题，若是质量问题请开鉴定单。,出水有异味。停水状态下设备加热后间断性漏水。,客户要求更换新机。,nan,质量工单
RL0011191644,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,上门确定机器是否属于质量问题，若是质量问题请开鉴定单。,出水异常,换机,nan,质量工单
RL0011191645,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,机器一直放水，两个号码都可以联系,一直在排废水，电源拔了，废水也一直在排,新机器客户不同意拆机，不知道是哪方面坏了,nan,质量工单
